year,CO2 interpolated [kg/t]
1945,
1946,
1947,2970.0
1948,2967.2031349338718
1949,2959.9618254232987
1950,2950.0
1951,2921.6759492410965
1952,2862.510391047775
1953,2778.97089493785
1954,2677.5250304291376
1955,2564.640367039454
1956,2446.784474286613
1957,2330.424921688432
1958,2222.0292787627254
1959,2128.0651150273097
1960,2055.0
1961,1998.6918570894381
1962,1949.0272522690962
1963,1903.516718904035
1964,1859.670790359316
1965,1815.0
1966,1771.0257456318568
1967,1729.372889069484
1968,1687.7071596911826
1969,1643.694286875254
1970,1595.0
1971,1537.1436261682243
1972,1471.0065794392522
1973,1402.2977196261684
1974,1336.7259065420562
1975,1280.0
1976,1230.7912727272726
1977,1184.4538181818182
1978,1141.7207272727273
1979,1103.3250909090912
1980,1070.0
1981,1041.9645090909091
1982,1017.7480727272726
1983,995.5493818181818
1984,973.5671272727274
1985,950.0
1986,920.5056
1987,886.2687999999999
1988,853.7792000000001
1989,829.5264
1990,820.0
1991,822.6
1992,828.8
1993,836.2
1994,842.4
1995,845.0
1996,834.2541935483871
1997,807.9625806451613
1998,775.0438709677419
1999,744.4167741935483
2000,725.0
2001,716.1275736325385
2002,709.989172510519
2003,704.78698457223
2004,698.7231977559608
2005,690.0
2006,673.0776972624798
2007,655.0
2008,643.1630330093687
2009,633.3013746607127
2010,625.0
2011,617.9928503139938
2012,611.9700403036835
2013,606.4508051363764
2014,600.9543799793795
2015,595.0
2016,588.53246859194
2017,581.8495676293032
2018,575.0
2019,568.03246859194
2020,560.9956762930331
2021,553.9383259911895
2022,546.9091205743188
2023,539.9567629303311
